	negative regulation of apoptosis	positive regulation of apoptosis	transcription elongation	cell fraction	cell migration	gene expression	macromolecule catabolic process	proteolysis	cell cycle	regulation of kinase activity	apoptotic mitochondrial changes	cell structure disassembly	positive regulation of caspase activity	negative regulation of caspase activity
BAX 	1	1	0	1	1	1	1	0	0	0	1	1	1	0
ZC3HC1 	1	0	0	0	0	0	1	1	1	0	0	0	0	0
APOE 	1	1	0	0	0	0	1	0	0	1	0	0	0	0
SH3GLB1 	1	1	0	1	0	0	0	0	0	0	1	0	0	0
RELA 	1	0	0	0	0	1	1	1	0	0	0	0	0	0
BCL2L1 	1	1	0	0	0	1	0	0	0	0	1	0	0	0
STAT5A 	1	0	0	0	0	1	0	0	0	0	0	0	0	0
YWHAZ 	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ROCK1 	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AARS 	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ANXA1 	1	0	0	0	0	0	0	0	1	0	0	0	0	0
PRDX2 	1	0	0	0	0	0	0	0	0	1	0	0	0	0
GCLM 	1	0	0	1	0	0	0	0	0	0	0	0	0	0
IGF1R 	1	0	0	1	0	0	0	0	0	0	0	0	0	0
NME1-NME2 	1	0	0	1	0	0	0	0	0	0	0	0	0	0
CFL1 	1	0	0	0	1	0	0	0	0	0	0	0	0	0
STAT5B 	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ADNP 	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ANXA4 	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BAG3 	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIM 	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSTP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AIFM1 	0	1	0	1	0	0	1	0	0	0	0	1	0	0
RPS3A 	0	1	1	0	0	0	0	0	0	0	0	0	0	0
SFN 	0	1	0	0	0	0	0	0	0	1	0	0	0	0
SRC	0	1	0	0	1	0	0	0	0	0	0	0	0	0
EIF5A 	0	1	0	0	0	1	0	0	0	0	0	0	0	0
TP53I3 	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TUBB2C 	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PRDX1 	0	1	0	0	0	0	0	0	0	0	0	0	0	0
